,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange
Izzet Phoenix,4,8,11,12,12,13,15,19,19,19,22,24,21,22,30,26,30,33,33,32,31,29,32,49,33,35,46,44,44,45,54,58,53
Izzet Phoenix,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Izzet Phoenix,3481,604,353,283,281,225,183,113,118,111,84,72,85,73,48,61,43,38,39,43,36,49,40,17,21,33,19,20,22,20,13,11,10
Azorius Control,4,11,10,20,17,15,19,21,23,36,22,21,43,31,32,30,24,30,46,34,31,36,58,47,74,58,50,47,42,68,46,65,62
Azorius Control,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Azorius Control,2454,353,402,111,135,187,107,88,79,33,76,88,23,42,36,34,70,40,18,38,44,28,11,15,6,10,16,15,19,8,14,9,10
Rakdos Demons,5,12,20,12,14,23,23,27,34,23,53,58,21,49,34,37,67,56,28,58,50,80,41,52,36,47,52,80,98,49,58,52,80
Rakdos Demons,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Rakdos Demons,1755,283,111,271,203,75,77,59,36,78,10,10,92,17,36,31,7,13,54,11,16,5,25,13,32,19,15,4,2,13,7,5,5
Selesnya Company,5,12,17,14,18,20,21,27,30,23,44,38,27,46,32,39,52,53,40,46,49,49,45,62,46,47,58,74,72,65,80,80,71
Selesnya Company,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Selesnya Company,1668,281,135,203,136,103,85,48,47,78,21,26,57,20,36,26,14,14,19,18,17,13,20,10,18,19,11,6,7,9,4,5,3
Enigmatic Incarnation,5,13,15,23,20,18,21,20,28,33,28,32,42,34,44,42,40,41,46,39,47,56,60,57,62,90,67,47,68,72,62,84,80
Enigmatic Incarnation,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Enigmatic Incarnation,1524,225,187,75,103,128,84,64,53,38,49,40,20,36,21,18,26,23,17,25,18,13,11,12,10,3,7,18,8,7,10,2,4
Mono Black Demons,6,15,19,23,21,21,22,30,35,30,34,40,42,48,42,39,74,64,44,60,58,90,53,64,98,84,60,80,64,80,74,98,74
Mono Black Demons,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Mono Black Demons,1110,183,107,77,85,84,90,45,33,48,34,25,22,18,22,24,6,6,20,11,10,3,14,6,2,2,11,5,6,5,6,1,6
Lotus Field Combo,7,19,21,27,27,20,30,36,39,44,41,44,55,60,86,58,50,60,50,67,86,53,76,80,64,86,71,67,90,80,57,90,98
Lotus Field Combo,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Lotus Field Combo,759,113,88,59,48,64,45,34,27,21,21,21,11,11,4,10,11,11,11,7,4,8,6,5,6,4,5,7,3,4,9,3,2
Green Devotion,7,19,23,34,30,28,35,39,38,58,37,40,67,50,58,74,53,63,76,58,57,62,80,80,80,71,98,90,80,90,80,84,98
Green Devotion,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Green Devotion,711,118,79,36,47,53,33,27,30,12,31,26,7,16,12,6,14,9,6,12,12,10,4,4,4,5,1,3,4,3,4,2,1
Mardu Greasefang,7,19,36,23,23,33,30,44,58,34,68,80,46,60,68,50,80,64,57,86,74,84,45,80,53,72,84,98,90,98,84,98,98
Mardu Greasefang,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Mardu Greasefang,658,111,33,78,78,38,48,21,12,38,8,5,6,11,8,16,4,6,12,4,6,2,20,4,8,7,2,2,3,1,2,1,2
Rakdos Midrange,8,22,22,53,44,28,34,41,37,68,38,41,76,58,49,67,53,53,84,56,60,37,84,57,84,0,98,90,80,98,80,72,0
Rakdos Midrange,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Rakdos Midrange,588,84,76,10,21,49,34,21,31,8,28,22,6,11,13,8,14,14,2,13,11,8,2,9,2,,2,3,5,2,5,7,
Abzan Greasefang,8,24,21,58,38,32,40,44,40,80,41,40,80,45,62,57,62,42,76,54,67,76,98,98,98,98,98,67,60,98,86,98,0
Abzan Greasefang,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Abzan Greasefang,553,72,88,10,26,40,25,21,26,5,22,26,5,10,10,12,8,19,6,14,8,6,1,2,2,2,2,7,4,2,4,2,
Domain Zur,9,21,43,21,27,42,42,55,67,46,76,80,40,84,80,64,0,60,63,90,80,98,62,90,98,86,80,0,0,84,90,84,98
Domain Zur,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Domain Zur,466,85,23,92,57,20,22,11,7,6,6,5,26,2,5,6,,4,9,3,5,1,10,3,1,4,5,,,2,3,2,1
Azorius Spirits,11,22,31,49,46,34,48,60,50,60,58,45,84,98,72,84,45,72,84,80,72,60,98,80,0,60,80,84,90,90,98,84,90
Azorius Spirits,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Azorius Spirits,394,73,42,17,20,36,18,11,16,11,11,10,2,2,7,2,10,7,2,5,7,11,1,4,,4,4,2,3,3,1,2,3
5 Color Niv-Mizzet,11,30,32,34,32,44,42,86,58,68,49,62,80,72,62,76,67,65,65,71,98,80,98,80,98,98,98,98,98,80,0,0,0
5 Color Niv-Mizzet,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
5 Color Niv-Mizzet,354,48,36,36,36,21,22,4,12,8,13,10,5,7,10,6,8,9,9,3,1,4,1,4,1,1,2,2,1,4,,,
Azorius Lotus Field,10,26,30,37,39,42,39,58,74,50,67,57,64,84,76,68,90,80,80,71,71,98,76,98,98,86,98,98,80,98,98,0,86
Azorius Lotus Field,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Azorius Lotus Field,346,61,34,31,26,18,24,10,6,16,8,12,6,2,6,8,3,4,4,3,3,1,6,2,2,4,2,1,4,2,2,,4
Boros Tokens Control,11,30,24,67,52,40,74,50,53,80,53,62,0,45,67,90,58,90,80,62,80,71,0,71,90,0,98,74,90,90,0,98,98
Boros Tokens Control,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Boros Tokens Control,336,43,70,7,14,26,6,11,14,4,14,8,,10,8,3,12,3,4,8,5,3,,3,3,,1,6,3,3,,1,1
Jund Sacrifice,11,33,30,56,53,41,64,60,63,64,53,42,60,72,65,80,90,68,71,64,86,76,90,84,84,71,0,98,90,98,98,98,98
Jund Sacrifice,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Jund Sacrifice,298,38,40,13,14,23,6,11,9,6,14,19,4,7,9,4,3,8,5,6,4,6,3,2,2,3,,1,3,1,2,1,1
Azorius Humans,11,33,46,28,40,46,44,50,76,57,84,76,63,84,65,80,80,71,98,90,67,98,74,84,98,80,98,0,0,90,98,0,0
Azorius Humans,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Azorius Humans,295,39,18,54,19,17,20,11,6,12,2,6,9,2,9,4,4,5,2,3,7,1,6,2,1,5,1,,,3,1,,
Mono White Humans,12,32,34,58,46,39,60,67,58,86,56,54,90,80,71,71,62,64,90,86,90,76,98,71,98,0,80,84,98,98,98,0,98
Mono White Humans,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
Mono White Humans,282,43,38,11,18,25,11,7,12,4,13,14,3,5,3,3,8,6,3,4,3,6,1,5,1,,4,2,1,2,1,,1
Rakdos Transmogrify,13,31,31,50,49,47,58,86,57,74,60,67,80,72,98,71,80,86,67,90,76,98,90,86,84,98,0,84,0,90,0,0,0
Rakdos Transmogrify,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80
